prompt,category
Generate an email for a leave from work tomorrow,3
Create a presentation for the quarterly meeting,6
Write a report on the annual sales,8
Draft a proposal for the new project,7
Compose a social media post for the new product launch,9
Write an article about recent technological advancements,1
Prepare a budget plan for the next quarter,2
Generate a reminder email for the upcoming deadline,4
Design a flyer for the local event,5
Create an agenda for the team meeting,0
Write a detailed report on market trends,8
Design an infographic for the annual review,5
Compose an email for client follow-up,3
Create slides for a product demo,6
Write a blog post about industry news,1
Prepare a financial forecast for next year,2
